Dental Services Pricelist for Government sector (Article 11),,,,,,,,,,,
Admitted / Non admitted,SBSCode,SBS code -Hyphenated ,Short Description,Long Description,Block ,Block Description ,Chapter ,Chapter Description ,Department/ Specialty,Price,
Non-admitted,970110000,97011-00-00,Comprehensive oral exam,Comprehensive oral examination,450,Dental examination,6,Dental services ,Oral Medicine & Diagnostics,150,
Non-admitted,970120000,97012-00-00,Periodic oral exam,Periodic oral examination,450,Dental examination,6,Dental services ,Oral Medicine & Diagnostics,100,
Non-admitted,970130000,97013-00-00,Limited oral exam ,Limited oral examination,450,Dental examination,6,Dental services ,Oral Medicine & Diagnostics,100,
Non-admitted,970110010,97011-00-10,Oral exam; post operative re-evaluation,Oral examination; post operative re-evaluation,450,Dental examination,6,Dental services ,Oral Medicine & Diagnostics,100,
Non-admitted,970110040,97011-00-40,Oral eval; under three years of age,Oral evaluation for a patient under three years of age and counselling with primary caregiver,450,Dental examination,6,Dental services ,Oral Medicine & Diagnostics,100,
Non-admitted,970110030,97011-00-30,"Re-eval limited, problem focused","Re-evaluation - limited, problem focused (established patient; not post-operative visit)",450,Dental examination,6,Dental services ,Oral Medicine & Diagnostics,100,
Non-admitted,979150010,97915-00-10,Emergency oral eval ,Emergency oral evaluation ,484,Dental emergency,6,Dental services ,Oral Medicine & Diagnostics,100,
Non-admitted,970140000,97014-00-00,Dental consult,Dental consultation,450,Dental examination,6,Dental services ,Oral Medicine & Diagnostics,100,
Non-admitted,970150000,97015-00-00,"Dental consult, extended","Dental consultation, extended",450,Dental examination,6,Dental services ,Oral Medicine & Diagnostics,100,
Non-admitted,970140010,97014-00-10,Dental consult via telephone,Dental consultation via telephone,450,Dental examination,6,Dental services ,Oral Medicine & Diagnostics,100,
Non-admitted,970590010,97059-00-10,Comprehensive cancer exam & risk assessment; Head & neck ,Comprehensive cancer examination and risk assessment of head and neck by a dental surgeon,450,Dental examination,6,Dental services ,Oral Medicine & Diagnostics,250,
Non-admitted,970720000,97072-00-00,"Photographic records, intraoral","Photographic records, intraoral",452,Other dental diagnostic services,6,Dental services ,Oral Medicine & Diagnostics,120,
Non-admitted,970730000,97073-00-00,"Photographic records, extraoral","Photographic records, extraoral",452,Other dental diagnostic services,6,Dental services ,Oral Medicine & Diagnostics,120,
Non-admitted,970730010,97073-00-10,3D photography dental,3-Dimensional photography dental,452,Other dental diagnostic services,6,Dental services ,Oral Medicine & Diagnostics,3000,
Non-admitted,970220010,97022-00-10,"Intraoral periapical radiography, per exposure","Intraoral periapical radiography, per exposure",451,Dental radiological examination and interpretation,6,Dental services ,Oral Medicine & Diagnostics,120,
Non-admitted,970220020,97022-00-20,"Intraoral bitewing radiography, per exposure","Intraoral bitewing radiography, per exposure",451,Dental radiological examination and interpretation,6,Dental services ,Oral Medicine & Diagnostics,120,
Non-admitted,970250000,97025-00-00,"Intraoral occlusal radiography, per exposure","Intraoral occlusal radiography, per exposure",451,Dental radiological examination and interpretation,6,Dental services ,Oral Medicine & Diagnostics,120,
Non-admitted,579330010,57933-00-10,"Posterior dental radiograph, extraoral","Posterior dental radiograph, extraoral",1967,Radiography of head or neck,20,Imaging services ,Oral Medicine & Diagnostics,400,
Non-admitted,909010130,90901-01-30,"MRI head, W/O followed by W/ contrast ","MRI head, without followed by with contrast ",2015,Magnetic resonance imaging,20,Imaging services ,Oral Medicine & Diagnostics,1000,
Non-admitted,970390010,97039-00-10,CBCT of jaw; limited; 1 jaw,"Cone beam Computerised Tomography of jaw, limited view (less than a jaw) ; each jaw",451,Dental radiological examination and interpretation,6,Dental services ,Oral Medicine & Diagnostics,800,
Non-admitted,970390020,97039-00-20,CBCT of 1 Jaw W or W/o Cranium,Cone beam Computerised Tomography of single jaw (maxilla or mandible); with or without cranium,451,Dental radiological examination and interpretation,6,Dental services ,Oral Medicine & Diagnostics,800,
Non-admitted,970390030,97039-00-30,CBCT of both jaws W or W/O Cranium,Cone beam Computerised Tomography of both jaws (Maxilla and mandible); with or without cranium,451,Dental radiological examination and interpretation,6,Dental services ,Oral Medicine & Diagnostics,800,
Non-admitted,970830020,97083-00-20,CBVT analysis and/or interpretation; (single arch),Cone Beam Volumetric Tomography analysis and/or interpretation (single arch),452,Other dental diagnostic services,6,Dental services ,Oral Medicine & Diagnostics,2500,
Non-admitted,970830030,97083-00-30,CBVT analysis and/or interpretation; (both arches),Cone Beam Volumetric Tomography analysis and/or interpretation; both maxillary and mandibular dentition (both arches),452,Other dental diagnostic services,6,Dental services ,Oral Medicine & Diagnostics,2500,
Non-admitted,970830040,97083-00-40,CBVT analysis and/or interpretation; TMJ only,Cone Beam Volumetric Tomography analysis and/or interpretation; Temporomandibular joint only,452,Other dental diagnostic services,6,Dental services ,Oral Medicine & Diagnostics,2500,
Non-admitted,970830050,97083-00-50,CBVT analysis and/or interpretation; orofacial structures,Cone Beam Volumetric Tomography analysis and/or interpretation; maxillofacial structures,452,Other dental diagnostic services,6,Dental services ,Oral Medicine & Diagnostics,2500,
Non-admitted,597510010,59751-00-10,"TMJ arthrogram, w/ injection","Temporomandibular joint arthrogram, including injection",1985,Arthrography,20,Imaging services ,Oral Medicine & Diagnostics,1000,
Non-admitted,970140020,97014-00-20,Analysis and interpretation of a radiological report,Analysis and interpretation of a radiological report,450,Dental examination,6,Dental services ,Oral Medicine & Diagnostics,150,
Non-admitted,901400010,90140-00-10,Sialoendoscopy,Endoscopy of salivary gland,399,Other procedures on salivary gland or duct,5,"Procedures on nose, mouth and pharynx ",Oral Medicine & Diagnostics,3000,
Non-admitted,970810000,97081-00-00,Cephalometric analysis & interpretation,Cephalometric analysis and interpretation,452,Other dental diagnostic services,6,Dental services ,Oral Medicine & Diagnostics,800,
